song_names,artists,artists_id,albums,time_played,duration_ms,track_ids,albums_image,id,genres
ye@h (feat. Shiva),thasup,19i93sA0D7yS9dYoVNBqAA,c@ra++ere s?ec!@le,2023-02-27 14:08:15,156616,2BkoXEOE6vvkOKVNjPax2B,https://i.scdn.co/image/ab67616d00001e0290160a76ca2d3f0c101037f5,0z3v96iyxiboop7dngb52qob0,"['italian hip hop', 'italian pop', 'trap italiana']"
cas!no nella m!a testa (feat. Salmo),thasup,19i93sA0D7yS9dYoVNBqAA,c@ra++ere s?ec!@le,2023-02-27 16:45:18,147106,18lJsd5w1ckiC8sebawPJA,https://i.scdn.co/image/ab67616d00001e0290160a76ca2d3f0c101037f5,0z3v96iyxiboop7dngb52qob0,"['italian hip hop', 'italian pop', 'trap italiana']"
sci@ll@ (feat. Tananai),thasup,19i93sA0D7yS9dYoVNBqAA,c@ra++ere s?ec!@le,2023-02-27 16:51:14,184794,53qZFgUIQKnFmdgsSDIYB1,https://i.scdn.co/image/ab67616d00001e0290160a76ca2d3f0c101037f5,0z3v96iyxiboop7dngb52qob0,"['italian hip hop', 'italian pop', 'trap italiana']"
m%n,thasup,19i93sA0D7yS9dYoVNBqAA,c@ra++ere s?ec!@le,2023-02-27 16:54:30,174360,1kbngfAC4VUm2Ybrohrmb6,https://i.scdn.co/image/ab67616d00001e0290160a76ca2d3f0c101037f5,0z3v96iyxiboop7dngb52qob0,"['italian hip hop', 'italian pop', 'trap italiana']"
mi @mi o è f@ke,thasup,19i93sA0D7yS9dYoVNBqAA,c@ra++ere s?ec!@le,2023-02-27 16:58:18,128266,3W2tsZcoDxmNQaw61Kz1rb,https://i.scdn.co/image/ab67616d00001e0290160a76ca2d3f0c101037f5,0z3v96iyxiboop7dngb52qob0,"['italian hip hop', 'italian pop', 'trap italiana']"
Flight's Booked,Drake,3TVXtAsR1Inumwj472S9r4,"Honestly, Nevermind",2023-02-28 09:03:13,254407,6Yj7Zhxt73uvwFFvzQXdxO,https://i.scdn.co/image/ab67616d00001e028dc0d801766a5aa6a33cbe37,0z3v96iyxiboop7dngb52qob0,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
Falling Back,Drake,3TVXtAsR1Inumwj472S9r4,"Honestly, Nevermind",2023-02-28 09:07:39,266178,1vbn9fEyw1IYhqgZJdu9ZB,https://i.scdn.co/image/ab67616d00001e028dc0d801766a5aa6a33cbe37,0z3v96iyxiboop7dngb52qob0,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
Overdrive,Drake,3TVXtAsR1Inumwj472S9r4,"Honestly, Nevermind",2023-02-28 09:11:02,202451,7hRlTK3mgFTBEjX7DjqBsI,https://i.scdn.co/image/ab67616d00001e028dc0d801766a5aa6a33cbe37,0z3v96iyxiboop7dngb52qob0,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
A Keeper,Drake,3TVXtAsR1Inumwj472S9r4,"Honestly, Nevermind",2023-02-28 09:13:56,173097,0nAZGkBGKQCXyaoSJfRhC1,https://i.scdn.co/image/ab67616d00001e028dc0d801766a5aa6a33cbe37,0z3v96iyxiboop7dngb52qob0,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
Sticky,Drake,3TVXtAsR1Inumwj472S9r4,"Honestly, Nevermind",2023-02-28 09:17:59,243227,4rmVZajAF7PkrCagGPHbqa,https://i.scdn.co/image/ab67616d00001e028dc0d801766a5aa6a33cbe37,0z3v96iyxiboop7dngb52qob0,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
!ly (feat. Coez),thasup,19i93sA0D7yS9dYoVNBqAA,c@ra++ere s?ec!@le,2023-03-01 11:18:53,206494,1E1nbIsPDO1PdtQwsAKKF3,https://i.scdn.co/image/ab67616d00001e0290160a76ca2d3f0c101037f5,0z3v96iyxiboop7dngb52qob0,"['italian hip hop', 'italian pop', 'trap italiana']"
Texts Go Green,Drake,3TVXtAsR1Inumwj472S9r4,"Honestly, Nevermind",2023-03-01 11:18:54,308820,4FIgHqXd4KkOwxrGeLDYM2,https://i.scdn.co/image/ab67616d00001e028dc0d801766a5aa6a33cbe37,0z3v96iyxiboop7dngb52qob0,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
Intro,Drake,3TVXtAsR1Inumwj472S9r4,"Honestly, Nevermind",2023-03-01 13:13:57,36935,1kNdtonJXHorsVpWerK8C2,https://i.scdn.co/image/ab67616d00001e028dc0d801766a5aa6a33cbe37,0z3v96iyxiboop7dngb52qob0,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
A Keeper,Drake,3TVXtAsR1Inumwj472S9r4,"Honestly, Nevermind",2023-03-01 16:00:00,173097,0nAZGkBGKQCXyaoSJfRhC1,https://i.scdn.co/image/ab67616d00001e028dc0d801766a5aa6a33cbe37,0z3v96iyxiboop7dngb52qob0,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
Down Hill,Drake,3TVXtAsR1Inumwj472S9r4,"Honestly, Nevermind",2023-03-01 16:04:12,250864,3N3d4OWbPVxTQVBFqNyykk,https://i.scdn.co/image/ab67616d00001e028dc0d801766a5aa6a33cbe37,0z3v96iyxiboop7dngb52qob0,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
